Transcript	Intron	Five_p_Score	Three_p_Score	
CNAG_05846	9	6.50945597612	10.7745489079	
CNAG_05846	10	5.55078008411	11.6720662054	
CNAG_05846	11	6.09133089133	13.2874779541	
CNAG_05846	12	5.80393433727	13.0805589472	
CNAG_05846	13	5.6036358703	11.2082485416	
CNAG_05845	0	6.15303215303	13.5407407407	
CNAG_05845	1	6.90668837336	9.54806674807	
CNAG_05845	2	5.6036358703	12.5299687966	
CNAG_05845	3	6.55031881699	11.1598426265	
CNAG_05844	0	7.81212861213	10.5778863112	
CNAG_05844	1	6.51075837743	9.79530592864	
CNAG_05844	2	5.42395875729	13.755365622	
CNAG_05844	3	6.13626373626	13.62995523	
CNAG_05844	4	6.42555962556	10.1743047076	
CNAG_05843	0	6.56920363587	12.8644145977	
CNAG_05843	1	4.89008275675	12.7651064984	
CNAG_05843	2	5.42395875729	10.6094695428	
CNAG_05843	3	5.4071360738	12.2508207842	
CNAG_05842	0	6.30443630444	12.5778320445	
CNAG_05842	1	5.67711301045	13.548283815	
CNAG_05842	2	6.03158323158	10.9249762583	
CNAG_05842	3	6.45882512549	12.5777235111	
CNAG_05842	4	6.44238230905	12.9216659883	
CNAG_05842	5	7.67819834487	13.1298873966	
CNAG_05842	6	5.80393433727	13.0333469	
CNAG_05841	0	7.2393976394	12.8474291141	
CNAG_05841	1	6.71952245286	13.0138108805	
CNAG_05841	2	6.61543888211	8.25440238774	
CNAG_05840	0	6.30443630444	10.3563152896	
CNAG_05840	1	4.89008275675	13.2511735178	
CNAG_05848	0	4.97115723782	10.785619319	
CNAG_05848	1	6.40477547144	11.9456790123	
CNAG_05848	2	5.22431149098	13.402631936	
CNAG_05848	3	5.61638854972	12.7782933116	
CNAG_05848	4	5.6036358703	10.3339574006	
CNAG_05848	5	6.69591642925	13.4110432777	
CNAG_05848	6	4.93219373219	13.9322751323	
CNAG_06381	0	4.59796499796	12.3747659748	
CNAG_06381	1	4.93219373219	10.7357482024	
CNAG_06381	2	4.93219373219	13.3321937322	
CNAG_06381	3	4.89008275675	10.9535748202	
CNAG_06380	0	6.06919006919	13.1086148419	
CNAG_06380	1	6.4824311491	13.024989825	
CNAG_06380	2	6.15303215303	13.2091710758	
CNAG_06380	3	6.32380952381	13.3463030796	
CNAG_06380	4	5.61638854972	10.7100257767	
CNAG_06380	5	6.03581603582	10.9653506987	
CNAG_06383	0	6.03581603582	10.6546737213	
CNAG_06383	1	7.05027811694	13.3321937322	
CNAG_06383	2	5.78032831366	12.0898114231	
CNAG_06382	0	6.3826346493	13.1848053181	
CNAG_06382	1	6.56231176231	13.2373897707	
CNAG_06382	2	6.69765296432	10.6618369285	
CNAG_06382	3	6.83831230498	12.5615520282	
CNAG_06385	0	6.82235788902	10.6094152761	
CNAG_06385	1	6.03581603582	10.1611721612	
CNAG_06384	0	5.38499525166	12.8174738841	
CNAG_06384	1	7.33935693936	11.3449464116	
CNAG_06384	2	6.62205942206	11.3684981685	
CNAG_06384	3	5.61638854972	11.5430742097	
CNAG_06384	4	5.4071360738	12.5357210691	
CNAG_06384	5	5.80442273776	11.4801248135	
CNAG_06384	6	6.70394790395	11.2376068376	
CNAG_06384	7	5.07290733957	12.4516076516	
CNAG_06384	8	6.40553520554	12.7172975173	
CNAG_06384	9	6.76261022928	11.3178130511	
CNAG_06384	10	5.67711301045	10.6789852123	
CNAG_06384	11	6.92790666124	12.4805860806	
CNAG_06384	12	5.44609957943	10.4108533442	
CNAG_06384	13	5.92983312983	13.5492606159	
CNAG_06384	14	5.38499525166	13.3158594492	
CNAG_06384	15	5.38499525166	11.7281779948	
CNAG_06384	16	7.43638583639	12.7172975173	
CNAG_06384	17	6.60974087641	9.49868403202	
CNAG_06384	18	4.89008275675	13.0415411749	
CNAG_06384	19	6.03158323158	13.3543345543	
CNAG_06384	20	6.50506037173	10.8123728124	
CNAG_06384	21	6.51075837743	10.6816442816	
CNAG_06384	22	5.22431149098	13.0773572107	
CNAG_06387	0	6.09133089133	12.5851580518	
CNAG_06387	1	4.93219373219	12.4659883327	
CNAG_06387	2	6.56936643603	13.5333062	
CNAG_06387	3	6.77661104328	10.4347307014	
CNAG_06387	4	6.80548093881	10.898982499	
CNAG_06387	5	5.38499525166	12.6719848053	
CNAG_06387	6	4.97115723782	11.4036630037	
CNAG_06387	7	5.46970560304	12.77666531	
CNAG_06387	8	5.75818749152	13.5475783476	
CNAG_06387	9	5.30538597205	12.8396147063	
CNAG_06387	10	5.69925383259	11.5719441053	
CNAG_06387	11	6.40477547144	13.0140279474	
CNAG_06387	12	5.61638854972	11.5334690001	
CNAG_06387	13	6.38344865012	12.5289919957	
CNAG_06389	0	6.69591642925	13.5825261159	
CNAG_06389	1	6.07130647131	10.8339709673	
CNAG_06388	0	5.42395875729	12.7691222358	
CNAG_06388	1	5.44609957943	10.480694614	
CNAG_06565	0	5.35162121829	10.4666938	
CNAG_05251	0	4.93219373219	13.0215167549	
CNAG_05251	1	7.10318816985	8.73650793651	
CNAG_05251	2	5.34288427622	12.6788224122	
CNAG_06567	0	5.84875864876	12.7356939357	
CNAG_02712	0	6.3826346493	13.5198480532	
CNAG_02712	1	4.93219373219	10.9322479989	
CNAG_02712	2	6.81622574956	11.4795278795	
CNAG_02712	3	7.5613620947	11.1959842627	
CNAG_02712	4	5.90280830281	11.3976393976	
CNAG_02713	0	5.47019400353	11.1025912359	
CNAG_02713	1	6.55645095645	10.9885768552	
CNAG_02713	2	7.08973002306	10.9535205535	
CNAG_02710	0	5.49233482567	10.9727309727	
CNAG_02710	1	5.61638854972	10.8288156288	
CNAG_02710	2	7.00800434134	12.3868131868	
CNAG_02710	3	6.13989960657	12.4039614706	
CNAG_02710	4	6.51336318003	12.4869352869	
CNAG_02710	5	6.74215167549	11.5479582146	
CNAG_02710	6	5.49233482567	11.7734364401	
CNAG_02710	7	5.6036358703	12.7237009904	
CNAG_02711	0	6.01231854565	13.5398182065	
CNAG_02711	1	5.78032831366	13.6477004477	
CNAG_02711	2	7.221001221	11.8222764889	
CNAG_02716	0	5.07290733957	12.4944240944	
CNAG_02716	1	5.8265635599	10.371021571	
CNAG_02716	2	5.22431149098	10.2368199702	
CNAG_02716	3	6.01231854565	12.7240265907	
CNAG_02716	4	6.70394790395	12.9579161579	
CNAG_02716	5	5.8908696242	12.6881562882	
CNAG_02716	6	5.61638854972	10.9454890788	
CNAG_02717	0	6.71794871795	10.6947768281	
CNAG_02717	1	7.00800434134	12.3800298467	
CNAG_02717	2	6.42886989554	11.6945868946	
CNAG_02717	3	7.07638040971	10.5790801791	
CNAG_02717	4	8.03505630172	10.7321665988	
CNAG_02717	5	6.858336725	13.5597883598	
CNAG_02717	6	8.93002306336	11.4094695428	
CNAG_02717	7	5.42395875729	11.7160222494	
CNAG_02717	8	5.95061728395	12.7094288428	
CNAG_02717	9	6.51075837743	8.37628544295	
CNAG_02717	10	5.61638854972	11.3974765975	
CNAG_02717	11	5.4071360738	13.0555962556	
CNAG_02717	12	5.84875864876	12.1672500339	
CNAG_02717	13	6.92692986026	13.028300095	
CNAG_02714	0	5.35162121829	11.1661918329	
CNAG_02714	1	5.22431149098	13.19668973	
CNAG_02714	2	5.97682811016	11.1961470628	
CNAG_02715	0	6.59270112603	13.6658255325	
CNAG_02715	1	6.83928910596	12.570343237	
CNAG_02715	2	5.8908696242	13.3977479311	
CNAG_02715	3	6.72001085334	10.381332248	
CNAG_02715	4	6.51336318003	10.5285035952	
CNAG_02718	0	5.8908696242	12.2859856193	
CNAG_02718	1	5.67711301045	13.0546737213	
CNAG_02718	2	10.0252340252	11.6414055081	
CNAG_02718	3	6.41183014516	11.1137701804	
CNAG_02718	4	5.47019400353	8.06815900149	
CNAG_02718	5	7.253669787	11.4111518112	
CNAG_02718	6	6.06349206349	13.5956586623	
CNAG_02718	7	5.22431149098	12.6946682947	
CNAG_02718	8	4.89008275675	13.579378646	
CNAG_02718	9	5.49233482567	10.6634106634	
CNAG_02718	10	5.05076651743	12.867670601	
CNAG_02719	0	7.51387871388	12.4435761769	
CNAG_00404	0	6.51336318003	12.4181250848	
CNAG_00404	1	5.93124406458	8.65147198481	
CNAG_00405	0	5.8908696242	11.9233211233	
CNAG_00405	1	5.84875864876	12.8908424908	
CNAG_00405	2	5.55664088997	11.2444987112	
CNAG_00405	3	6.25771265771	12.5265499932	
CNAG_00405	4	6.80548093881	13.7428300095	
CNAG_00405	5	6.15303215303	11.4116402116	
CNAG_06831	0	5.78032831366	11.2512820513	
CNAG_06831	1	6.13989960657	11.5219644553	
CNAG_06831	2	5.78032831366	11.2512820513	
CNAG_06830	0	5.46970560304	13.069325736	
CNAG_06830	1	5.46970560304	11.5321665988	
CNAG_06837	0	6.42838149505	13.2765160765	
CNAG_06837	1	5.35162121829	9.60640347307	
CNAG_06837	2	5.35162121829	9.54068647402	
CNAG_06837	3	6.13989960657	10.2368199702	
CNAG_00401	0	5.36502509836	13.3906932574	
CNAG_00401	1	6.30058336725	12.3112196446	
CNAG_00401	2	5.47019400353	10.5194953195	
CNAG_00401	3	6.86050739384	13.736318003	
CNAG_00401	4	5.55664088997	12.2912494912	
CNAG_00401	5	6.56654456654	12.1263871931	
CNAG_00401	6	5.69925383259	13.2875864876	
CNAG_06835	0	5.22431149098	12.4985483652	
CNAG_06835	1	6.7616334283	10.3594084927	
CNAG_06835	2	6.55031881699	11.3889567223	
CNAG_06835	3	6.8383665717	12.1741961742	
CNAG_06835	4	5.55078008411	13.2424908425	
CNAG_06835	5	6.18298738299	10.1128205128	
CNAG_06835	6	5.84875864876	11.9180029847	
CNAG_06835	7	7.23782390449	13.5471984805	
CNAG_00403	0	5.59701533035	10.2360059693	
CNAG_06169	0	5.38499525166	13.0427350427	
CNAG_06169	1	6.40477547144	12.7850766517	
CNAG_06169	2	5.8908696242	12.2912494912	
CNAG_06169	3	5.34288427622	13.0398589065	
CNAG_06169	4	5.47019400353	10.6790937458	
CNAG_06169	5	5.22431149098	11.0004612671	
CNAG_06169	6	5.8908696242	12.910649844	
CNAG_06839	0	6.18298738299	11.3834757835	
CNAG_06839	1	6.71686338353	13.7489078822	
CNAG_06839	2	5.35162121829	10.8049925383	
CNAG_06838	0	6.83652150319	13.1018857686	
CNAG_00408	0	6.36581196581	13.3543345543	
CNAG_00408	1	5.88500881834	11.9381902049	
CNAG_00408	2	6.03581603582	10.8409171076	
CNAG_00408	3	5.4071360738	12.662705196	
CNAG_00408	4	5.97682811016	11.6408085741	
CNAG_00408	5	6.32272418939	12.7168091168	
CNAG_00408	6	5.8908696242	10.2913580247	
CNAG_00408	7	5.55664088997	13.2081400081	
CNAG_00409	0	5.34288427622	12.8538868539	
CNAG_00409	1	5.22431149098	13.1966354633	
CNAG_00409	2	5.07290733957	13.4115859449	
CNAG_06168	0	5.4071360738	12.9180843848	
CNAG_06168	1	5.90850630851	13.7358838692	
CNAG_06168	2	6.32370099037	12.6546194546	
CNAG_06168	3	6.19601139601	13.8589607923	
CNAG_06168	4	5.84875864876	13.6345679012	
CNAG_06168	5	6.59270112603	12.7963641297	
CNAG_06168	6	5.78032831366	13.9536019536	
CNAG_06168	7	6.80059693393	11.5693393027	
CNAG_06168	8	5.51181657848	13.7703975037	
CNAG_06165	0	7.57205263872	11.5200108533	
CNAG_06165	1	6.30058336725	13.3520553521	
CNAG_06165	2	4.59796499796	12.1308370642	
CNAG_06165	3	6.6014380681	9.36925790259	
CNAG_06165	4	6.22097408764	13.5391670058	
CNAG_06165	5	5.84778184778	13.6412427079	
CNAG_06165	6	4.93219373219	12.6735585402	
CNAG_06165	7	5.8265635599	11.411965812	
CNAG_06165	8	6.07130647131	13.0482159815	
CNAG_06165	9	6.15303215303	13.5766110433	
CNAG_06165	10	6.42583095916	13.2081400081	
CNAG_06165	11	5.59701533035	10.4571971239	
CNAG_06165	12	5.35162121829	10.8983312983	
CNAG_06165	13	6.01231854565	12.4659883327	
CNAG_06165	14	6.65695292362	12.618369285	
CNAG_06165	15	5.42395875729	10.3039479039	
CNAG_06165	16	4.97115723782	12.2360059693	
CNAG_06165	17	5.75818749152	13.9086148419	
CNAG_06165	18	7.38184778185	13.1966354633	
CNAG_06165	19	6.6014380681	8.79359652693	
CNAG_06165	20	5.55078008411	13.0754036087	
CNAG_06165	21	4.97115723782	12.9572106905	
CNAG_03444	0	5.36502509836	13.5982634649	
CNAG_03444	1	6.06919006919	10.8539953873	
CNAG_03444	2	5.4071360738	10.9718084385	
CNAG_03444	3	4.59796499796	12.6257495591	
CNAG_03447	0	6.32380952381	13.3972052639	
CNAG_03447	1	7.15143128476	13.6409171076	
CNAG_03447	2	6.94103920771	13.4166870167	
CNAG_03447	3	4.89008275675	13.579378646	
CNAG_05155	0	5.97020757021	10.4921991589	
CNAG_05155	1	4.59796499796	13.2014652015	
CNAG_05155	2	5.34288427622	10.435381902	
CNAG_05155	3	5.80393433727	11.5386243386	
CNAG_05154	0	5.34288427622	12.631013431	
CNAG_05154	1	5.47019400353	11.6780355447	
CNAG_05154	2	5.55078008411	10.9082621083	
CNAG_05154	3	5.01739248406	11.9185456519	
CNAG_05157	0	4.97115723782	12.7417718084	
CNAG_05156	0	7.253669787	13.1606566273	
CNAG_05156	1	6.38344865012	13.08001628	
CNAG_05156	2	6.65695292362	12.7310812644	
CNAG_05156	3	6.88991995659	8.25440238774	
CNAG_05156	4	4.93219373219	12.410690544	
CNAG_05156	5	6.15303215303	12.5422330756	
CNAG_05151	0	6.74215167549	9.39156152489	
CNAG_05151	1	6.47770994438	11.1394926062	
CNAG_05151	2	5.34288427622	11.9094288428	
CNAG_05151	3	6.3102971103	9.78792565459	
CNAG_05150	0	5.55664088997	12.6045312712	
CNAG_05150	1	6.69591642925	11.2580653914	
CNAG_05150	2	5.8265635599	10.7253832587	
CNAG_05150	3	5.98958078958	12.6807217474	
CNAG_05153	0	5.55664088997	12.1672500339	
CNAG_05153	1	6.01231854565	12.3748202415	
CNAG_05153	2	5.84875864876	11.5500746167	
CNAG_05152	0	6.30058336725	11.672337539	
CNAG_05152	1	6.00944240944	12.2566273233	
CNAG_05152	2	7.11024284358	10.1201465201	
CNAG_05152	3	7.15832315832	13.3322479989	
CNAG_05152	4	7.40284900285	10.8674535341	
CNAG_05152	5	6.94353547687	10.3114909782	
CNAG_05152	6	6.63090489757	13.0131054131	
CNAG_05152	7	6.43174603175	11.2088454755	
CNAG_05152	8	6.08563288563	12.9719712386	
CNAG_05152	9	6.44238230905	13.0198344865	
CNAG_05152	10	5.80393433727	13.3738163071	
CNAG_05152	11	5.80393433727	13.3239994573	
CNAG_05152	12	7.42867996201	13.7640482974	
CNAG_05152	13	4.59796499796	13.7507529508	
CNAG_05152	14	6.42300908968	13.847347714	
CNAG_05152	15	4.93219373219	11.5693935694	
CNAG_05152	16	5.84778184778	11.368009768	
CNAG_05152	17	6.41183014516	12.8907339574	
CNAG_05152	18	5.05076651743	13.3883597884	
CNAG_05152	19	5.01739248406	8.52247998915	
CNAG_05152	20	5.51181657848	13.9164292498	
CNAG_06161	0	7.87708587709	11.2519332519	
CNAG_06161	1	5.80393433727	14.1057658391	
CNAG_06161	2	7.23152896486	13.0033374033	
CNAG_06161	3	7.66262379596	12.4866096866	
CNAG_06161	4	5.46970560304	12.6526115859	
CNAG_06161	5	5.38499525166	13.3161307828	
CNAG_06161	6	5.84778184778	13.2078144078	
CNAG_06161	7	6.98293311627	13.9178401845	
CNAG_06161	8	6.61543888211	9.75031881699	
CNAG_06161	9	5.34288427622	13.089350156	
CNAG_06161	10	6.42740469407	12.6574955908	
CNAG_05159	0	5.05076651743	13.0825125492	
CNAG_05159	1	6.32272418939	11.4048568715	
CNAG_05158	0	6.60268620269	11.3247591914	
CNAG_05158	1	6.55031881699	10.8738570072	
CNAG_05158	2	5.47019400353	10.8684303351	
CNAG_05158	3	5.22431149098	12.8696784697	
CNAG_05158	4	8.2649301316	11.3884683218	
CNAG_03440	0	6.84759191426	10.87662461	
CNAG_03440	1	6.87863247863	11.4910324244	
CNAG_03443	0	5.51181657848	12.7762311762	
CNAG_03443	1	5.30538597205	13.3758784425	
CNAG_06162	0	5.51181657848	11.7136345136	
CNAG_06162	1	4.59796499796	12.7017229684	
CNAG_04750	0	4.97115723782	12.7088319088	
CNAG_04750	1	6.63481210148	13.7164563831	
CNAG_04750	2	6.55520282187	13.2075973409	
CNAG_04751	0	6.4741283408	10.9455433455	
CNAG_04751	1	4.59796499796	13.139329806	
CNAG_01500	0	5.80442273776	11.1662460996	
CNAG_01500	1	5.01739248406	10.4808574142	
CNAG_01500	2	4.89008275675	13.5711843712	
CNAG_01500	3	6.42300908968	12.6310676977	
CNAG_01500	4	5.88500881834	12.839289106	
CNAG_04021	0	5.35162121829	10.4808574142	
CNAG_04021	1	5.51181657848	10.7751458418	
CNAG_04021	2	6.68376068376	12.9453805454	
CNAG_04021	3	5.6036358703	10.771998372	
CNAG_04026	0	5.67711301045	11.9311897979	
CNAG_04026	1	5.4071360738	13.3427757428	
CNAG_04026	2	6.56231176231	11.0630307964	
CNAG_04026	3	5.01739248406	10.6885904219	
CNAG_04026	4	6.37775064442	12.9097273097	
CNAG_04026	5	5.61638854972	12.8664224664	
CNAG_04026	6	6.85866232533	10.9034323701	
CNAG_04026	7	4.93219373219	10.8043956044	
CNAG_04026	8	6.77661104328	13.8466965134	
CNAG_04026	9	5.22431149098	13.1966354633	
CNAG_04026	10	4.59796499796	12.964319631	
CNAG_04026	11	7.00800434134	13.3944919278	
CNAG_04026	12	9.26425179759	11.1539818206	
CNAG_04026	13	6.79902319902	13.3677384344	
CNAG_04755	0	5.07290733957	11.2586623253	
CNAG_04755	1	5.75818749152	13.5591371591	
CNAG_04755	2	5.35162121829	10.487315154	
CNAG_04755	3	6.46512006512	12.8534527201	
CNAG_04755	4	5.8265635599	10.6127255461	
CNAG_04755	5	7.15143128476	13.4158187492	
CNAG_04755	6	5.95061728395	12.4868810202	
CNAG_04756	0	5.88500881834	12.8457468457	
CNAG_04756	1	7.75390042057	12.9835843169	
CNAG_06440	0	5.8265635599	10.8745624746	
CNAG_06440	1	5.51181657848	13.6508479175	
CNAG_06440	2	6.4907339574	11.2449871117	
CNAG_06440	3	6.26720933388	9.60591507258	
CNAG_06440	4	6.43668430335	13.3515669516	
CNAG_06440	5	6.26720933388	10.11336318	
CNAG_06440	6	5.67711301045	12.6671550672	
CNAG_06440	7	5.05076651743	10.8865011532	
CNAG_06440	8	6.7572378239	10.9780491114	
CNAG_06440	9	5.44609957943	13.0761090761	
CNAG_06440	10	6.96334283001	11.1954415954	
CNAG_06440	11	6.36130782797	12.8060778727	
CNAG_06440	12	6.5498304165	11.1886582553	
