Transcript	150904CM018-B_al_sorted.bam	150904CM018-W_al_sorted.bam	150904CM763-B_al_sorted.bam	150904CM763-W_al_sorted.bam	150904CM764-B_al_sorted.bam
CNAG_01693T0	16	576.0	803.0	33.0	107.0
CNAG_01694T0	14	514.0	873.0	28.0	148.0
CNAG_01695T0	1	96.0	400.0	5.0	82.0
CNAG_01696T0	84	1318.0	8952.0	167.0	2946.0
CNAG_01696T1	90	1533.0	9256.0	188.0	3063.0
CNAG_01697T0	11	923.0	1785.0	106.0	329.0
CNAG_01698T0	8	173.0	390.0	17.0	67.0
CNAG_01699T0	13	438.0	1181.0	22.0	218.0
CNAG_01701T0	23	595.0	2310.0	56.0	520.0
CNAG_01702T0	10	288.0	933.0	40.0	185.0
CNAG_01703T0	1	159.0	330.0	14.0	45.0
CNAG_01704T0	99	2158.0	7356.0	165.0	1550.0
CNAG_01706T0	4	79.0	269.0	5.0	54.0
CNAG_01707T0	30	1025.0	1260.0	64.0	253.0
CNAG_01708T0	14	516.0	367.0	51.0	80.0
CNAG_01709T0	103	5664.0	4572.0	275.0	1261.0
CNAG_01710T0	7	67.0	488.0	4.0	91.0
CNAG_01711T0	53	2782.0	3339.0	166.0	788.0
CNAG_01712T0	9	453.0	262.0	38.0	55.0
CNAG_01713T0	24	3737.0	1610.0	149.0	352.0
CNAG_01714T0	17	679.0	1212.0	38.0	279.0
CNAG_01715T0	13	414.0	449.0	53.0	71.0
CNAG_01716T0	12	721.0	660.0	54.0	132.0
CNAG_01717T0	20	752.0	1194.0	53.0	191.0
CNAG_01718T0	8	409.0	1362.0	17.0	201.0
CNAG_01719T0	1	117.0	235.0	3.0	38.0
CNAG_01720T0	22	1895.0	914.0	135.0	163.0
CNAG_01721T0	69	4232.0	4415.0	195.0	1473.0
CNAG_01722T0	352	6122.0	17610.0	268.0	4457.0
CNAG_01723T0	14	466.0	897.0	37.0	158.0
CNAG_01725T0	1	37.0	130.0	3.0	17.0
CNAG_01725T1	1	36.0	126.0	3.0	17.0
CNAG_01726T0	35	896.0	2440.0	92.0	414.0
CNAG_01727T0	852	20345.0	76990.0	2201.0	23860.0
CNAG_01728T0	23	1729.0	1964.0	87.0	381.0
CNAG_01729T0	12	304.0	543.0	29.0	98.0
CNAG_01730T0	7	237.0	758.0	25.0	125.0
CNAG_01731T0	9	541.0	475.0	39.0	66.0
CNAG_01732T0	41	2887.0	1666.0	122.0	351.0
CNAG_01733T0	95	6129.0	9383.0	212.0	1740.0
CNAG_01734T0	40	1655.0	3076.0	106.0	702.0
CNAG_01735T0	97	15501.0	1923.0	533.0	812.0
CNAG_01736T0	5	1033.0	582.0	69.0	151.0
CNAG_01737T0	248	18289.0	14796.0	378.0	7201.0
CNAG_01738T0	24	938.0	380.0	61.0	76.0
CNAG_01739T0	19	606.0	2008.0	59.0	496.0
CNAG_01739T1	19	606.0	2008.0	59.0	496.0
CNAG_01740T0	15	1046.0	1192.0	94.0	186.0
CNAG_01741T0	11	266.0	1147.0	35.0	187.0
CNAG_01741T1	11	266.0	1147.0	35.0	187.0
CNAG_01742T0	6	179.0	676.0	4.0	134.0
CNAG_01743T0	38	7015.0	1113.0	145.0	378.0
CNAG_01744T0	201	13144.0	10720.0	692.0	3716.0
CNAG_01745T0	214	14922.0	13584.0	752.0	5103.0
CNAG_01746T0	6	275.0	599.0	20.0	86.0
CNAG_01750T0	996	16764.0	91323.0	1345.0	32064.0
CNAG_01751T0	70	9833.0	3876.0	254.0	1393.0
CNAG_01751T1	50	6988.0	3111.0	186.0	1078.0
CNAG_01752T0	39	3052.0	4529.0	382.0	935.0
CNAG_01753T0	101	14966.0	3935.0	583.0	928.0
CNAG_01753T1	101	14966.0	3935.0	583.0	928.0
CNAG_01754T0	32	1434.0	2861.0	145.0	469.0
CNAG_01755T0	10	292.0	659.0	44.0	81.0
CNAG_01756T0	2	411.0	187.0	47.0	19.0
CNAG_01758T0	2	133.0	250.0	7.0	44.0
CNAG_01760T0	1	256.0	375.0	30.0	74.0
CNAG_01761T0	428	23310.0	23831.0	1418.0	6968.0
CNAG_01763T0	15	606.0	1198.0	36.0	204.0
CNAG_01764T0	24	500.0	1501.0	24.0	266.0
CNAG_01765T0	10	487.0	538.0	26.0	101.0
CNAG_01765T1	10	487.0	538.0	26.0	101.0
CNAG_01768T0	84	2211.0	10415.0	142.0	1953.0
CNAG_01769T0	71	1643.0	8021.0	121.0	2607.0
CNAG_01770T0	55	2301.0	3107.0	156.0	1045.0
CNAG_01771T0	29	1346.0	2447.0	76.0	717.0
CNAG_01772T0	14	832.0	1351.0	97.0	205.0
CNAG_01773T0	9	517.0	612.0	26.0	136.0
CNAG_01776T0	5	150.0	750.0	20.0	229.0
CNAG_01777T0	59	3511.0	5424.0	168.0	1582.0
CNAG_01778T0	14	1671.0	1540.0	91.0	320.0
CNAG_01779T0	5	528.0	354.0	30.0	107.0
CNAG_01780T0	23	642.0	2846.0	97.0	376.0
CNAG_01781T0	16	492.0	1617.0	43.0	244.0
CNAG_01781T1	16	492.0	1617.0	43.0	244.0
CNAG_01781T2	16	492.0	1617.0	43.0	244.0
CNAG_01781T3	16	492.0	1617.0	43.0	244.0
CNAG_01787T0	3	39.0	179.0	9.0	28.0
CNAG_01788T0	23	704.0	2327.0	94.0	392.0
CNAG_01789T0	10	1507.0	160.0	177.0	43.0
CNAG_01790T0	3	460.0	1024.0	46.0	135.0
CNAG_01791T0	9	385.0	782.0	49.0	95.0
CNAG_01792T0	17	634.0	1683.0	61.0	236.0
CNAG_01792T1	17	634.0	1683.0	61.0	236.0
CNAG_01793T0	11	325.0	933.0	37.0	147.0
CNAG_01793T1	8	301.0	704.0	32.0	107.0
CNAG_01794T0	1	168.0	217.0	9.0	57.0
CNAG_01795T0	20	546.0	1029.0	37.0	332.0
CNAG_01796T0	2	64.0	271.0	3.0	61.0
CNAG_01796T1	2	64.0	271.0	3.0	61.0
CNAG_01796T2	2	64.0	271.0	3.0	61.0
CNAG_01796T3	2	64.0	271.0	3.0	61.0
CNAG_01797T0	9	1175.0	387.0	89.0	62.0
CNAG_01798T0	19	886.0	1373.0	60.0	271.0
CNAG_01799T0	97	12589.0	6485.0	890.0	1346.0
CNAG_01800T0	18	3024.0	1056.0	188.0	164.0
CNAG_01802T0	53	2616.0	1956.0	115.0	626.0
CNAG_01803T0	40	6002.0	844.0	72.0	360.0
CNAG_01806T0	4	30.0	413.0	5.0	79.0
CNAG_01807T0	29	847.0	2043.0	71.0	396.0
CNAG_01808T0	41	3437.0	3687.0	243.0	649.0
CNAG_01809T0	21	2506.0	832.0	113.0	159.0
CNAG_01811T0	24	1820.0	1643.0	157.0	249.0
CNAG_01812T0	6	595.0	336.0	67.0	58.0
CNAG_01813T0	112	7857.0	6854.0	613.0	1051.0
CNAG_01814T0	2	278.0	230.0	22.0	22.0
CNAG_01815T0	17	676.0	860.0	44.0	200.0
CNAG_01816T0	1	87.0	49.0	12.0	5.0
CNAG_01816T1	1	87.0	49.0	12.0	5.0
CNAG_01817T0	16	847.0	1249.0	63.0	240.0
CNAG_01818T0	12	1647.0	593.0	147.0	105.0
CNAG_01819T0	11	1692.0	469.0	178.0	78.0
CNAG_01820T0	194	11822.0	9375.0	872.0	1895.0
CNAG_01820T1	182	11623.0	8713.0	849.0	1774.0
CNAG_01821T0	42	1835.0	5048.0	115.0	1492.0
CNAG_01822T0	4	723.0	473.0	76.0	64.0
CNAG_01823T0	61	3276.0	5915.0	186.0	1121.0
CNAG_01823T1	61	3276.0	5915.0	186.0	1121.0
CNAG_01824T0	112	2183.0	7864.0	108.0	2165.0
CNAG_01824T1	112	2183.0	7864.0	108.0	2165.0
CNAG_01825T0	6	375.0	187.0	33.0	29.0
CNAG_01826T0	16	577.0	1385.0	46.0	216.0
CNAG_01827T0	9	128.0	783.0	9.0	112.0
CNAG_01827T1	9	134.0	838.0	11.0	116.0
CNAG_01827T2	9	128.0	783.0	9.0	112.0
CNAG_01827T3	9	128.0	783.0	9.0	112.0
CNAG_01828T0	14	429.0	1451.0	44.0	194.0
CNAG_01832T0	5	506.0	710.0	45.0	105.0
CNAG_01833T0	15	1245.0	908.0	141.0	142.0
CNAG_01834T0	20	982.0	2923.0	89.0	534.0
CNAG_01834T1	20	982.0	2923.0	89.0	534.0
CNAG_01835T0	42	676.0	4895.0	43.0	930.0
CNAG_01836T0	2	57.0	289.0	4.0	38.0
CNAG_01837T0	42	1779.0	3224.0	116.0	559.0
CNAG_01839T0	22	2207.0	977.0	170.0	235.0
CNAG_01840T0	112	6895.0	3944.0	799.0	747.0
CNAG_01841T0	1	77.0	50.0	1.0	8.0
CNAG_01842T0	38	863.0	757.0	53.0	166.0
CNAG_01843T0	22	3345.0	311.0	250.0	51.0
CNAG_01844T0	8	212.0	403.0	13.0	91.0
CNAG_01845T0	102	2556.0	6969.0	195.0	1293.0
CNAG_01846T0	223	11382.0	15270.0	498.0	4576.0
CNAG_01847T0	18	997.0	906.0	30.0	238.0
CNAG_01848T0	43	1599.0	2093.0	78.0	443.0
CNAG_01849T0	1	59.0	451.0	5.0	66.0
CNAG_01850T0	62	1313.0	3101.0	92.0	707.0
CNAG_01851T0	2	112.0	446.0	5.0	46.0
CNAG_01852T0	33	1938.0	1939.0	196.0	335.0
CNAG_01853T0	4	635.0	956.0	45.0	166.0
CNAG_01854T0	234	9022.0	8567.0	415.0	2284.0
CNAG_01855T0	17	1179.0	501.0	52.0	110.0
CNAG_01856T0	4	69.0	150.0	5.0	21.0
CNAG_01859T0	28	1810.0	1070.0	80.0	264.0
CNAG_01860T0	7	1038.0	609.0	71.0	139.0
CNAG_01861T0	8	922.0	1637.0	58.0	258.0
CNAG_01862T0	1	8.0	37.0	1.0	9.0
CNAG_01863T0	53	1505.0	2168.0	124.0	467.0
CNAG_01864T0	25	1029.0	2516.0	79.0	424.0
CNAG_01865T0	14	275.0	1451.0	34.0	395.0
CNAG_01866T0	1	91.0	152.0	11.0	22.0
CNAG_01867T0	21	1538.0	1608.0	92.0	366.0
CNAG_01868T0	14	1311.0	1418.0	115.0	294.0
CNAG_01869T0	5	206.0	856.0	37.0	129.0
CNAG_01870T0	15	2233.0	1131.0	173.0	205.0
CNAG_01871T0	4	429.0	460.0	28.0	55.0
CNAG_01872T0	1	227.0	325.0	14.0	52.0
CNAG_01873T0	4	4.0	178.0	1.0	47.0
CNAG_01874T0	25	1225.0	2586.0	99.0	817.0
CNAG_01875T0	36	1037.0	3175.0	84.0	629.0
CNAG_01876T0	11	843.0	1131.0	45.0	201.0
CNAG_01877T0	22	1159.0	943.0	202.0	115.0
CNAG_01878T0	11	693.0	919.0	46.0	258.0
CNAG_01879T0	14	476.0	1025.0	24.0	254.0
CNAG_01880T0	8	856.0	724.0	67.0	137.0
CNAG_01881T0	20	1864.0	1216.0	198.0	296.0
CNAG_01882T0	5	123.0	573.0	11.0	75.0
CNAG_01883T0	3	17.0	57.0		14.0
CNAG_01884T0	246	37880.0	7363.0	5047.0	1313.0
CNAG_01885T0	8	528.0	468.0	39.0	77.0
CNAG_01886T0	6	734.0	152.0	24.0	40.0
CNAG_01889T0	9	793.0	749.0	44.0	179.0
CNAG_01890T0	244	9038.0	7566.0	821.0	1620.0
CNAG_01891T0	7	463.0	196.0	39.0	35.0
CNAG_01892T0	82	8845.0	1422.0	322.0	385.0
CNAG_01893T0	66	5941.0	2589.0	248.0	756.0
CNAG_01894T0	17	859.0	1071.0	65.0	153.0
CNAG_01895T0	11	1149.0	460.0	35.0	102.0
CNAG_01896T0	573	53679.0	19951.0	2808.0	5521.0
CNAG_01897T0	46	2861.0	2528.0	215.0	571.0
CNAG_01898T0	1	206.0	282.0	35.0	29.0
CNAG_01899T0	7	780.0	558.0	86.0	153.0
CNAG_01900T0	10	671.0	622.0	69.0	150.0
CNAG_01901T0	3	46.0	257.0	3.0	38.0
CNAG_01902T0	73	1800.0	3593.0	109.0	1180.0
CNAG_01903T0	15	490.0	611.0	48.0	107.0
CNAG_01904T0	15	413.0	894.0	25.0	160.0
CNAG_01905T0	79	2659.0	3675.0	144.0	1388.0
CNAG_01906T0	3	359.0	50.0	16.0	11.0
CNAG_01907T0	10	298.0	1183.0	61.0	187.0
CNAG_01908T0	4	494.0	132.0	44.0	48.0
CNAG_01909T0	16	552.0	1041.0	46.0	239.0
CNAG_01910T0	9	549.0	394.0	43.0	62.0
CNAG_01911T0	9	925.0	756.0	52.0	141.0
CNAG_01912T0	133	10704.0	7678.0	378.0	1705.0
CNAG_01913T0	12	744.0	776.0	25.0	196.0
CNAG_01914T0	19	2437.0	1832.0	134.0	555.0
CNAG_01915T0	155	11380.0	4827.0	515.0	992.0
CNAG_01916T0	48	1215.0	3651.0	98.0	688.0
CNAG_01917T0	1	133.0	61.0	9.0	10.0
CNAG_01918T0	21	1053.0	1290.0	56.0	282.0
CNAG_01919T0	28	3578.0	927.0	136.0	239.0
CNAG_01920T0	149	13459.0	7158.0	978.0	2490.0
CNAG_01922T0	14	410.0	1747.0	42.0	378.0
CNAG_01923T0	29	1650.0	2384.0	128.0	612.0
CNAG_01924T0	59	4687.0	3873.0	147.0	978.0
CNAG_01925T0	7	438.0	737.0	7.0	240.0
CNAG_01926T0	7	349.0	1000.0	26.0	188.0
CNAG_01927T0	3	684.0	240.0	30.0	47.0
CNAG_01928T0	23	1046.0	2475.0	45.0	436.0
CNAG_01930T0	14	482.0	1236.0	32.0	271.0
CNAG_01931T0	4	49.0	311.0	12.0	56.0
CNAG_01934T0	1	12.0	83.0	3.0	12.0
CNAG_01936T0	2	75.0	78.0	1.0	24.0
CNAG_01938T0	39	3081.0	2092.0	190.0	425.0
CNAG_01939T0	53	5723.0	1416.0	66.0	761.0
CNAG_01940T0	60	1391.0	1368.0	152.0	279.0
CNAG_01940T1	4	177.0	746.0	24.0	109.0
CNAG_01941T0	15	559.0	703.0	49.0	122.0
CNAG_01942T0	30	3019.0	1447.0	118.0	398.0
CNAG_01943T0	17	1447.0	634.0	89.0	92.0
CNAG_01944T0	4	26.0	97.0		26.0
CNAG_01945T0	10	68.0	593.0	7.0	382.0
CNAG_01946T0	17	382.0	1879.0	37.0	1010.0
CNAG_01947T0	9	305.0	674.0	18.0	231.0
CNAG_01948T0	33	765.0	2825.0	55.0	527.0
CNAG_01949T0	12	191.0	810.0	19.0	202.0
CNAG_01950T0	13	555.0	2569.0	100.0	343.0
CNAG_01950T1	13	555.0	2569.0	100.0	343.0
CNAG_01951T0	438	21011.0	4681.0	3346.0	918.0
CNAG_01951T1	438	21011.0	4681.0	3346.0	918.0
CNAG_01952T0	7	618.0	1319.0	29.0	235.0
CNAG_01952T1	7	618.0	1319.0	29.0	235.0
CNAG_01953T0	4	63.0	559.0	11.0	66.0
CNAG_01954T0	2	141.0	84.0		19.0
CNAG_01955T0	4	27.0	368.0	2.0	106.0
CNAG_01956T0	5	251.0	448.0	32.0	64.0
CNAG_01957T0	30	4311.0	1483.0	313.0	357.0
CNAG_01958T0	16	2675.0	785.0	175.0	145.0
CNAG_01959T0	12	153.0	548.0	20.0	86.0
CNAG_01960T0	3	34.0	226.0	6.0	29.0
CNAG_01961T0	65	6137.0	3739.0	429.0	757.0
CNAG_01962T0	16	3196.0	574.0	123.0	192.0
CNAG_01963T0	1	211.0	304.0	11.0	61.0
CNAG_01964T0	9	169.0	1144.0	16.0	144.0
CNAG_01968T0	3	81.0	221.0	7.0	34.0
CNAG_01969T0	2	62.0	280.0	5.0	45.0
CNAG_01970T0	66	2412.0	3217.0	144.0	635.0
CNAG_01972T0	28	711.0	1684.0	39.0	323.0
CNAG_01972T1	28	711.0	1684.0	39.0	323.0
CNAG_01973T0	56	1869.0	3657.0	119.0	834.0
CNAG_01974T0	6	693.0	145.0	73.0	19.0
CNAG_01975T0	8	246.0	752.0	17.0	132.0
CNAG_01976T0	75	14615.0	3187.0	2256.0	521.0
CNAG_01977T0	2	23.0	217.0	1.0	28.0
CNAG_01978T0	2	216.0	291.0	8.0	38.0
CNAG_01979T0	9	666.0	797.0	62.0	138.0
CNAG_01981T0	45	3117.0	1300.0	135.0	398.0
CNAG_01982T0	8	574.0	1411.0	33.0	232.0
CNAG_01983T0	8	458.0	535.0	24.0	155.0
CNAG_01984T0	700	49044.0	32392.0	2547.0	11189.0
CNAG_01985T0	142	5537.0	8122.0	269.0	1974.0
CNAG_01986T0	24	782.0	1642.0	53.0	348.0
CNAG_01987T0	38	1220.0	3116.0	88.0	491.0
CNAG_01988T0	104	1780.0	5622.0	139.0	1184.0
CNAG_01988T1	103	1557.0	5533.0	131.0	1157.0
CNAG_01989T0	3	32.0	361.0	4.0	64.0
CNAG_01990T0	120	14635.0	4055.0	2443.0	643.0
CNAG_01991T0	173	13599.0	10116.0	725.0	2888.0
CNAG_01992T0	7	40.0	200.0	5.0	43.0
CNAG_01993T0	3	42.0	240.0	8.0	20.0
CNAG_01994T0	2	25.0	152.0		26.0
CNAG_01995T0	2	159.0	72.0	7.0	10.0
CNAG_01996T0	8	115.0	308.0	18.0	51.0
CNAG_01996T1	8	115.0	308.0	18.0	51.0
CNAG_01997T0	25	1000.0	1295.0	65.0	197.0
CNAG_01999T0	5	289.0	384.0	26.0	60.0
CNAG_02000T0	38	2442.0	2548.0	150.0	401.0
CNAG_02001T0	66	2735.0	3425.0	108.0	988.0
CNAG_02002T0	34	2787.0	1575.0	176.0	275.0
CNAG_02004T0	34	3155.0	1119.0	216.0	241.0
CNAG_02005T0	2	70.0	56.0	5.0	12.0
CNAG_02006T0	33	2477.0	2642.0	141.0	396.0
CNAG_02007T0	55	4970.0	2039.0	469.0	363.0
CNAG_02008T0	75	10689.0	2109.0	357.0	442.0
CNAG_02009T0	12	622.0	430.0	61.0	84.0
CNAG_02010T0	3	186.0	875.0	12.0	172.0
CNAG_02010T1	3	169.0	854.0	10.0	168.0
CNAG_02011T0	5	261.0	783.0	23.0	175.0
CNAG_02012T0	18	619.0	668.0	55.0	162.0
CNAG_02012T1	18	616.0	593.0	52.0	145.0
CNAG_02013T0	22	375.0	1988.0	34.0	345.0
CNAG_02013T1	16	298.0	1528.0	24.0	271.0
CNAG_02017T0	1	44.0	145.0	4.0	25.0
CNAG_02018T0	2	42.0	43.0	2.0	4.0
CNAG_02020T0	29	1341.0	2421.0	99.0	426.0
CNAG_02021T0	13	692.0	1349.0	68.0	256.0
CNAG_02022T0	27	2191.0	1395.0	175.0	324.0
CNAG_02023T0	3	416.0	827.0	17.0	201.0
CNAG_02023T1	3	297.0	733.0	13.0	174.0
CNAG_02024T0	7	253.0	234.0	33.0	53.0
CNAG_02025T0	8	730.0	440.0	50.0	76.0
CNAG_02026T0	2	112.0	579.0	9.0	125.0
CNAG_02027T0	12	359.0	553.0	36.0	114.0
CNAG_02028T0	29	735.0	2237.0	64.0	466.0
CNAG_02029T0	21	2539.0	1836.0	108.0	363.0
CNAG_02030T0	261	5775.0	13918.0	266.0	5221.0
CNAG_02031T0	1	59.0	67.0	9.0	5.0
CNAG_02032T0	36	1053.0	1848.0	61.0	420.0
CNAG_02033T0	7	1327.0	358.0	70.0	40.0
CNAG_02034T0	4	271.0	442.0	31.0	73.0
CNAG_02035T0	129	15543.0	3406.0	757.0	787.0
CNAG_02036T0	36	687.0	2715.0	81.0	378.0
CNAG_02037T0	14	1651.0	922.0	134.0	148.0
CNAG_02038T0	35	3610.0	1868.0	219.0	383.0
CNAG_02039T0	7	230.0	428.0	8.0	112.0
CNAG_02039T1	7	230.0	428.0	8.0	112.0
CNAG_02040T0	2	9.0	60.0	1.0	10.0
CNAG_02041T0	78	6666.0	3187.0	122.0	1437.0
CNAG_02043T0	7	580.0	783.0	25.0	284.0
CNAG_02043T1	5	415.0	504.0	22.0	177.0
CNAG_02046T0	107	6607.0	4969.0	367.0	1094.0
CNAG_02047T0	36	3214.0	921.0	121.0	208.0
CNAG_02048T0	9	578.0	722.0	82.0	102.0
CNAG_02049T0	3	149.0	151.0	12.0	24.0
CNAG_02050T0	8	131.0	236.0	9.0	30.0
CNAG_02050T1	8	131.0	236.0	9.0	30.0
CNAG_02051T0	9	198.0	866.0	25.0	106.0
CNAG_02052T0	2	18.0	83.0	1.0	14.0
CNAG_02053T0	1	44.0	69.0	2.0	16.0
CNAG_02054T0	14	732.0	2005.0	117.0	280.0
CNAG_02055T0	24	1779.0	2172.0	114.0	388.0
CNAG_02056T0	4	611.0	493.0	31.0	121.0
CNAG_02057T0	10	559.0	473.0	34.0	116.0
CNAG_02057T1	10	559.0	473.0	34.0	116.0
CNAG_02057T2	10	559.0	473.0	34.0	116.0
CNAG_02058T0	13	735.0	1324.0	32.0	265.0
CNAG_02059T0	14	569.0	683.0	57.0	103.0
CNAG_02060T0	1	26.0	105.0	11.0	17.0
CNAG_02061T0	8	199.0	812.0	26.0	127.0
CNAG_02062T0	14	268.0	601.0	21.0	132.0
CNAG_02063T0	40	1294.0	1217.0	99.0	270.0
CNAG_02064T0	41	1121.0	2830.0	92.0	769.0
CNAG_02065T0	1	276.0	326.0	27.0	49.0
CNAG_02065T1	1	276.0	326.0	27.0	49.0
CNAG_02066T0	5	39.0	623.0	12.0	102.0
CNAG_02067T0	5	396.0	550.0	33.0	54.0
CNAG_02068T0	16	1653.0	734.0	112.0	181.0
CNAG_02069T0	20	1626.0	1211.0	100.0	333.0
CNAG_02070T0	232	24711.0	11499.0	790.0	4192.0
CNAG_02071T0	49	1322.0	2559.0	112.0	482.0
CNAG_02072T0	28	1719.0	2672.0	81.0	570.0
CNAG_02073T0	24	1137.0	2644.0	61.0	473.0
CNAG_02074T0	23	1379.0	1024.0	69.0	196.0
CNAG_02075T0	9	999.0	387.0	87.0	49.0
CNAG_02076T0	39	1811.0	1612.0	164.0	287.0
CNAG_02077T0	3	350.0	340.0	23.0	47.0
CNAG_02078T0	19	1880.0	1266.0	101.0	229.0
CNAG_02079T0	517	19488.0	18504.0	805.0	3723.0
CNAG_02080T0	1	770.0	474.0	68.0	85.0
CNAG_02080T1	1	770.0	474.0	68.0	85.0
CNAG_02081T0	33	2377.0	2428.0	119.0	492.0
CNAG_02082T0	2	244.0	292.0	32.0	35.0
CNAG_02084T0	31	2511.0	947.0	197.0	120.0
CNAG_02085T0	5	300.0	288.0	22.0	69.0
CNAG_02086T0	14	391.0	1035.0	33.0	147.0
CNAG_02087T0	3	122.0	462.0	7.0	115.0
CNAG_02088T0	24	1753.0	1039.0	112.0	302.0
CNAG_02089T0	13	453.0	802.0	31.0	141.0
CNAG_02090T0	10	351.0	793.0	29.0	173.0
CNAG_02091T0	75	4539.0	3169.0	391.0	655.0
CNAG_02092T0	31	1109.0	642.0	87.0	125.0
CNAG_02093T0	15	802.0	974.0	77.0	226.0
CNAG_02094T0	59	5352.0	2322.0	336.0	516.0
CNAG_02095T0	17	1175.0	851.0	153.0	154.0
CNAG_02096T0	10	454.0	696.0	13.0	127.0
CNAG_02097T0	14	800.0	1597.0	48.0	280.0
CNAG_02099T0	646	13932.0	19183.0	1033.0	6645.0
CNAG_02100T0	305	9682.0	11104.0	559.0	3229.0
CNAG_02101T0	1	129.0	69.0	13.0	10.0
CNAG_02102T0	6	277.0	253.0	10.0	59.0
CNAG_02103T0	18	227.0	785.0	12.0	149.0
CNAG_02103T1	18	227.0	785.0	12.0	149.0
CNAG_02104T0	19	1223.0	1005.0	39.0	405.0
CNAG_02105T0	5	209.0	137.0	14.0	24.0
CNAG_02105T1	5	209.0	137.0	14.0	24.0
CNAG_02106T0	9	692.0	349.0	48.0	46.0
CNAG_02107T0	12	493.0	2326.0	31.0	442.0
CNAG_02108T0	23	651.0	1210.0	46.0	272.0
CNAG_02109T0	49	1816.0	2355.0	104.0	556.0
CNAG_02110T0	44	3028.0	2413.0	171.0	513.0
CNAG_02111T0	8	593.0	555.0	42.0	94.0
CNAG_02112T0	7	502.0	1025.0	40.0	255.0
CNAG_02113T0	16	1040.0	1740.0	107.0	245.0
CNAG_02114T0	21	1116.0	1572.0	87.0	303.0
CNAG_02115T0	30	1706.0	1735.0	116.0	468.0
CNAG_02116T0	7	279.0	979.0	15.0	189.0
CNAG_02117T0	14	1591.0	496.0	93.0	112.0
CNAG_02118T0	1	207.0	69.0	2.0	21.0
CNAG_02119T0	9	276.0	661.0	26.0	135.0
CNAG_02120T0	13	1334.0	1166.0	124.0	188.0
CNAG_02121T0	22	2187.0	1032.0	99.0	242.0
CNAG_02122T0	7	235.0	617.0	28.0	72.0
CNAG_02123T0	4	451.0	329.0	64.0	50.0
CNAG_02124T0	21	499.0	2269.0	42.0	514.0
CNAG_02125T0	1	16.0	84.0	5.0	19.0
CNAG_02125T1	1	16.0	83.0	5.0	19.0
CNAG_02126T0	12	708.0	1247.0	85.0	262.0
CNAG_02127T0	9	459.0	667.0	53.0	85.0
CNAG_02128T0	10	1645.0	479.0	205.0	72.0
CNAG_02129T0	1068	50727.0	46140.0	1815.0	14655.0
CNAG_02130T0	98	3393.0	11418.0	371.0	1731.0
CNAG_02131T0	28	1291.0	3055.0	106.0	783.0
CNAG_02132T0	6	691.0	442.0	21.0	141.0
CNAG_02133T0	149	10825.0	3775.0	532.0	884.0
CNAG_02134T0	20	1586.0	939.0	129.0	163.0
CNAG_02135T0	10	671.0	312.0	34.0	72.0
CNAG_02136T0	8	852.0	588.0	83.0	118.0
CNAG_02137T0	24	485.0	2497.0	35.0	455.0
CNAG_02138T0	22	460.0	1337.0	32.0	256.0
CNAG_02139T0	61	2663.0	3804.0	136.0	993.0
CNAG_02140T0	25	3330.0	1694.0	358.0	242.0
CNAG_02141T0	21	412.0	1114.0	25.0	164.0
CNAG_02143T0	8	383.0	811.0	31.0	194.0
CNAG_02143T1	8	383.0	811.0	31.0	194.0
CNAG_02144T0	180	27585.0	4007.0	4392.0	784.0
CNAG_02145T0	8	1498.0	345.0	128.0	83.0
CNAG_02147T0	2	136.0	275.0	9.0	50.0
CNAG_02148T0	30	1463.0	1777.0	101.0	376.0
CNAG_02148T1	30	1463.0	1777.0	101.0	376.0
CNAG_02149T0	5	980.0	236.0	43.0	57.0
CNAG_02150T0	12	302.0	1060.0	19.0	214.0
CNAG_02151T0	46	2514.0	3577.0	128.0	869.0
CNAG_02152T0	11	463.0	822.0	28.0	190.0
CNAG_02153T0	16	1105.0	1713.0	77.0	233.0
CNAG_02154T0	7	447.0	619.0	38.0	85.0
CNAG_02155T0	2	44.0	74.0	7.0	10.0
CNAG_02156T0	6	536.0	895.0	36.0	240.0
CNAG_02157T0	4	153.0	267.0	19.0	37.0
CNAG_02159T0	1	200.0	269.0	16.0	26.0
CNAG_02161T0	31	1067.0	2349.0	71.0	428.0
CNAG_02162T0	2	230.0	208.0	39.0	24.0
CNAG_02163T0	8	316.0	202.0	19.0	37.0
CNAG_02164T0	57	1555.0	3935.0	75.0	1029.0
CNAG_02165T0	49	1721.0	2802.0	97.0	717.0
CNAG_02166T0	164	4572.0	6747.0	259.0	1789.0
CNAG_02167T0	35	1924.0	1660.0	73.0	445.0
CNAG_02168T0	31	625.0	1489.0	36.0	302.0
CNAG_02169T0	4	22.0	452.0	3.0	63.0
CNAG_02170T0	2	58.0	410.0	7.0	64.0
CNAG_02171T0	9	344.0	815.0	30.0	118.0
CNAG_02172T0	47	1415.0	1770.0	102.0	418.0
CNAG_02173T0	8	1076.0	672.0	73.0	148.0
CNAG_02174T0	63	2082.0	4333.0	136.0	1165.0
CNAG_02174T1	63	1959.0	4263.0	134.0	1154.0
CNAG_02174T2	49	1096.0	3777.0	93.0	1022.0
CNAG_02175T0	72	1518.0	6556.0	94.0	1938.0
CNAG_02176T0	27	897.0	1999.0	97.0	390.0
CNAG_02177T0	43	2400.0	4528.0	179.0	788.0
CNAG_02178T0	30	878.0	1653.0	77.0	311.0
CNAG_02179T0	34	1704.0	4784.0	102.0	972.0
