Transcript	150904CM018-B_al_sorted.bam	150904CM018-W_al_sorted.bam	150904CM763-B_al_sorted.bam	150904CM763-W_al_sorted.bam	150904CM764-B_al_sorted.bam
CNAG_00108T0	21	2307.0	893.0	166.0	256.0
CNAG_00109T0	9	2184.0	135.0	151.0	30.0
CNAG_00109T1	9	2184.0	135.0	151.0	30.0
CNAG_00110T0	2	229.0	266.0	31.0	34.0
CNAG_00111T0	32	2026.0	1338.0	145.0	319.0
CNAG_00115T0	297	13234.0	22525.0	495.0	8736.0
CNAG_00116T0	140	20108.0	3502.0	2336.0	579.0
CNAG_00117T0	26	583.0	1016.0	41.0	133.0
CNAG_00118T0	5	710.0	167.0	67.0	24.0
CNAG_00119T0	2	471.0	145.0	22.0	13.0
CNAG_00120T0	4	486.0	250.0	30.0	38.0
CNAG_00121T0	95	9567.0	6173.0	473.0	1421.0
CNAG_00122T0	8	357.0	765.0	28.0	206.0
CNAG_00123T0	12	1329.0	1017.0	75.0	212.0
CNAG_00124T0	13	264.0	675.0	18.0	69.0
CNAG_00125T0	3	97.0	388.0	6.0	59.0
CNAG_00126T0	44	1544.0	4108.0	126.0	1137.0
CNAG_00127T0	6	251.0	758.0	33.0	90.0
CNAG_00128T0	18	204.0	1456.0	26.0	225.0
CNAG_00129T0	10	201.0	335.0	19.0	51.0
CNAG_00130T0	247	11370.0	19432.0	501.0	5390.0
CNAG_00131T0	2	53.0	167.0	4.0	20.0
CNAG_00132T0	3	87.0	231.0	5.0	39.0
CNAG_00132T1	3	87.0	231.0	5.0	39.0
CNAG_00133T0	5	418.0	751.0	40.0	103.0
CNAG_00134T0	26	878.0	2280.0	77.0	446.0
CNAG_00135T0	6	652.0	262.0	58.0	45.0
CNAG_00136T0	133	6177.0	5572.0	304.0	1429.0
CNAG_00137T0	19	1500.0	2061.0	74.0	335.0
CNAG_00138T0	23	1987.0	988.0	129.0	170.0
CNAG_00139T0	231	24431.0	11093.0	675.0	3359.0
CNAG_00140T0	37	2538.0	1674.0	151.0	348.0
CNAG_00141T0	8	875.0	1250.0	48.0	281.0
CNAG_00142T0	10	226.0	298.0	25.0	48.0
CNAG_00143T0	49	3429.0	1164.0	226.0	179.0
CNAG_00144T0	2	98.0	355.0	7.0	42.0
CNAG_00144T1	2	98.0	355.0	7.0	42.0
CNAG_00145T0	4	551.0	584.0	55.0	86.0
CNAG_00146T0	16	1334.0	1390.0	88.0	222.0
CNAG_00147T0	293	8853.0	10476.0	600.0	2695.0
CNAG_00148T0	149	6079.0	4394.0	275.0	1223.0
CNAG_00149T0	9	301.0	1076.0	124.0	198.0
CNAG_00150T0	52	2846.0	2594.0	183.0	636.0
CNAG_00151T0	21	1112.0	1054.0	106.0	342.0
CNAG_00152T0	11	462.0	1132.0	54.0	181.0
CNAG_00153T0	7	384.0	522.0	41.0	77.0
CNAG_00153T1	7	268.0	418.0	35.0	61.0
CNAG_00154T0	59	2044.0	3600.0	77.0	871.0
CNAG_00156T0	63	1351.0	3996.0	100.0	1444.0
CNAG_00156T1	63	1351.0	3996.0	100.0	1444.0
CNAG_00157T0	60	2503.0	4461.0	291.0	1251.0
CNAG_00158T0	11	495.0	892.0	27.0	221.0
CNAG_00159T0	6	331.0	91.0	34.0	10.0
CNAG_00160T0	3	113.0	367.0	14.0	52.0
CNAG_00161T0	10	219.0	1214.0	33.0	311.0
CNAG_00162T0	438	14006.0	31157.0	532.0	16318.0
CNAG_00163T0	40	834.0	3981.0	61.0	680.0
CNAG_00163T1	40	834.0	3981.0	61.0	680.0
CNAG_00164T0	15	103.0	1179.0	32.0	175.0
CNAG_00165T0	10	1252.0	502.0	126.0	91.0
CNAG_00166T0	3	172.0	273.0	23.0	36.0
CNAG_00167T0	18	990.0	1418.0	45.0	347.0
CNAG_00171T0	3	329.0	660.0	34.0	97.0
CNAG_00172T0	14	255.0	696.0	51.0	128.0
CNAG_00173T0	8	325.0	1228.0	34.0	177.0
CNAG_00174T0	49	2550.0	2318.0	134.0	529.0
CNAG_00175T0	22	1930.0	630.0	75.0	141.0
CNAG_00176T0	77	6676.0	5861.0	356.0	1006.0
CNAG_00176T1	69	6481.0	5180.0	337.0	918.0
CNAG_00177T0	12	35.0	1222.0	15.0	198.0
CNAG_00178T0	16	678.0	1097.0	33.0	189.0
CNAG_00179T0	1	40.0	224.0	3.0	20.0
CNAG_00179T1	1	40.0	224.0	3.0	20.0
CNAG_00180T0	38	3655.0	2647.0	186.0	661.0
CNAG_00181T0	19	961.0	1984.0	56.0	392.0
CNAG_00182T0	10	955.0	917.0	70.0	155.0
CNAG_00182T1	10	955.0	917.0	70.0	155.0
CNAG_00183T0	35	2218.0	2622.0	63.0	1447.0
CNAG_00183T1	29	2079.0	2020.0	61.0	1154.0
CNAG_00184T0	26	1661.0	1358.0	100.0	188.0
CNAG_00185T0	21	1690.0	611.0	94.0	130.0
CNAG_00186T0	2	166.0	279.0	9.0	39.0
CNAG_00187T0	20	808.0	821.0	69.0	149.0
CNAG_00188T0	10	609.0	884.0	49.0	126.0
CNAG_00189T0	4	781.0	878.0	56.0	119.0
CNAG_00190T0	35	2322.0	1880.0	94.0	606.0
CNAG_00191T0	5	112.0	506.0	6.0	66.0
CNAG_00192T0	10	539.0	705.0	12.0	129.0
CNAG_00193T0	46	1409.0	2363.0	144.0	488.0
CNAG_00194T0	11	898.0	1165.0	80.0	223.0
CNAG_00195T0	5	343.0	205.0	32.0	20.0
CNAG_00229T0	1	297.0	27.0	6.0	5.0
CNAG_00231T0	2	217.0	367.0	22.0	57.0
CNAG_00232T0	118	20836.0	4875.0	3361.0	719.0
CNAG_00233T0	11	638.0	752.0	72.0	111.0
CNAG_00234T0	5	406.0	211.0	34.0	28.0
CNAG_00235T0	27	756.0	2702.0	65.0	409.0
CNAG_00236T0	15	314.0	1169.0	53.0	213.0
CNAG_00237T0	78	4443.0	2328.0	344.0	364.0
CNAG_00238T0	124	5741.0	5386.0	445.0	1289.0
CNAG_00239T0	30	771.0	2060.0	40.0	478.0
CNAG_00240T0	22	1097.0	1213.0	55.0	172.0
CNAG_00241T0	3	410.0	531.0	21.0	66.0
CNAG_00242T0	1	7.0	82.0	1.0	7.0
CNAG_00243T0	3	375.0	158.0	27.0	27.0
CNAG_00246T0	20	1324.0	416.0	73.0	86.0
CNAG_00247T0	72	4829.0	2050.0	92.0	467.0
CNAG_00248T0	5	358.0	490.0	16.0	82.0
CNAG_00249T0	21	1178.0	1142.0	55.0	414.0
CNAG_00250T0	14	965.0	1298.0	97.0	245.0
CNAG_00252T0	1	247.0	261.0	17.0	41.0
CNAG_00252T1	1	247.0	261.0	17.0	41.0
CNAG_00253T0	28	868.0	2539.0	60.0	441.0
CNAG_00254T0	21	1860.0	2297.0	111.0	419.0
CNAG_00255T0	14	2353.0	1472.0	124.0	276.0
CNAG_00256T0	57	4335.0	2025.0	367.0	516.0
CNAG_00257T0	52	1214.0	2372.0	94.0	480.0
CNAG_00257T1	51	1123.0	2347.0	89.0	468.0
CNAG_00258T0	9	447.0	1502.0	42.0	235.0
CNAG_00259T0	4	358.0	202.0	48.0	35.0
CNAG_00260T0	30	847.0	3275.0	95.0	374.0
CNAG_00261T0	137	14824.0	5177.0	821.0	1451.0
CNAG_00262T0	2	24.0	72.0	5.0	18.0
CNAG_00262T1	1	21.0	57.0	5.0	12.0
CNAG_00263T0	5	368.0	836.0	17.0	166.0
CNAG_00264T0	53	4587.0	4673.0	201.0	1246.0
CNAG_00264T1	53	4587.0	4673.0	201.0	1246.0
